id,name,description,category,goal_action,goal_number,goal_type,created_at,updated_at
1,JavaScript,Become a better web developer by building JavaScript projects.,TECHNOLOGY,Create,50,projects,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
2,Running,"Whether for marathon training or just daily exercise, improve your health by running.",HEALTH_WELLNESS,Run,300,miles,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
3,Watercolor,"Break out your best brushes, paints, and thick paper and get painting!",ART,Paint,60,paintings,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
4,Drawing,Draw all the things!,ART,Draw,100,drawings,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
5,Meditation,Clear your mind.,HEALTH_WELLNESS,Meditate,1000,minutes,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
6,Python,Practice building things with Python.,TECHNOLOGY,Create,25,projects,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
8,Exploration,"Explore new places around your neighborhood, city, or beyond.",ENTERTAINMENT,Explore,100,new places,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
9,Writing,"Writing a little every day, you could finish the first draft of a novel!",LITERATURE,Write,30000,words,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
10,Reading,The average person only reads 2 books a year. Be way above average.,LITERATURE,Read,30,books,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
11,Yoga,Improve your physical and spiritual well-being by practicing yoga regularly.,HEALTH_WELLNESS,Practice yoga,50,times,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
12,Connection,"Keep in touch or reconnect with friends, family, and people you know. Say I love you, thank you, or just hello.",FAMILY_SOCIAL,Contact,100,people,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
13,Rejection,"Get rejected on purpose! Get used to it, learn from it, and grow beyond your fear.",PERSONAL_GROWTH,Get rejected,100,times,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
14,Gratitude,Keep a gratitude journal and write down the things you're grateful for. You can't write too many!,PERSONAL_GROWTH,Be grateful for,500,things,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
15,Weight Loss,"Eat and drink healthy, exercise, sleep well, and lose weight the right way.",HEALTH_WELLNESS,Lose,20,pounds,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
16,Romance,Romance your partner like you did when you'd just met.,FAMILY_SOCIAL,Do,100,romantic gestures,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
17,YouTube,Creating videos consistently is the key to building up a YouTube following.,ENTERTAINMENT,Upload,100,videos,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
18,Speed Painting,"Do 15-20 minute paintings in the medium of your choice to improve your use of color, space, lighting, and other design elements.",ART,Paint,100,paintings,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
7,Saving,Open up a savings account and start putting money away.,CAREER_FINANCE,Save,1000,dollars,2018-12-15 07:12:05.249167-08,2018-12-15 07:12:05.249167-08
